ID from CIS Mail,"ID )سوا مر( from
Registration
Google Sheet",PROBLEM#1,,,,,PROBLEM#2,,,,TOTAL
,,STATUS,SAMPLE,COMPLETE,MARK,COMMENT,STATUS,SAMPLE,COMPLETE,MARK,(... / 12)
20201700293,20201700293,OK,100,100,8,,OK,100,90,3.7,11.7
20201700345,20201700345,OK,80,100,7.6,,OK,100,100,4,11.6
20201700054,20201700054,TIME OUT,100,0,2,,OK,100,70,3.1,5.1
20201701013,20201701014,COMPILE_ERR,0,0,0,,OK,100,100,4,4
20191700352,20191700352,OK,100,100,8,,OK,100,90,3.7,11.7
20201700006,20201700006,OK,100,100,8,,OK,100,100,4,12
20201700369,20201700369,OK,100,100,8,,OK,100,100,4,12
20201700302,20201700302,OK,100,100,8,,OK,100,100,4,12
20201700069,20201700069,OK,100,100,8,,OK,100,100,4,12
20201700058,20201700058,OK,100,100,8,,OK,100,80,3.4,11.4
20201700586,20201700586,OK,100,100,8,,OK,100,100,4,12
20201701048,20201701048,OK,80,100,7.6,,OK,100,100,4,11.6
20201700505,20201700505,OK,80,100,7.6,,OK,100,100,4,11.6
20201700635,20201700635,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700313,20201700313,OK,100,0,2,,OK,100,80,3.4,5.4
20191700566,20191700566,OK,100,100,8,,OK,100,100,4,12
20201700174,20201700174,OK,80,100,7.6,,OK,100,70,3.1,10.7
20201700566,20201700566,NOT DELIVERED,,,,,EXCEPTION,40,0,0.4,0.4
20191700697,20191700697,OK,100,100,8,,OK,100,100,4,12
20191700660,20191700660,OK,100,100,8,,OK,100,70,3.1,11.1
20201700442,20201700442,OK,100,100,8,,OK,100,100,4,12
20201700641,20201700641,OK,80,100,7.6,,OK,100,70,3.1,10.7
20201700686,20201700686,OK,100,100,8,,OK,100,100,4,12
20201700146,20201700146,OK,0,0,0,,OK,100,100,4,4
20201701126,20201701126,OK,0,0,0,,OK,100,100,4,4
20201700850,20201700850,OK,100,100,8,,OK,100,40,2.2,10.2
20201700036,20201700036,OK,100,100,8,,OK,100,100,4,12
20201701062,20201701062,OK,100,100,8,,OK,100,100,4,12
20201700215,20201700215,OK,0,0,0,,OK,100,0,1,1
20201700891,20201700892,OK,80,100,7.6,,OK,100,100,4,11.6
20201700950,20201700951,OK,100,100,8,,OK,100,100,4,12
20201700187,20201700187,NOT DELIVERED,,,,,OK,100,70,3.1,3.1
20201700734,20201700734,OK,100,100,8,,OK,100,100,4,12
20201700144,20201700144,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201701106,20201701106,OK,100,100,8,,OK,100,100,4,12
20201700352,20201700352,OK,100,100,8,,OK,100,70,3.1,11.1
20201701131,20201701131,OK,80,100,7.6,,OK,100,100,4,11.6
20201701098,20201701098,OK,100,100,8,,OK,100,100,4,12
20201700068,20201700068,OK,80,100,7.6,,OK,80,70,2.9,10.5
20201700951,20201700952,OK,100,100,8,,OK,100,100,4,12
20201701199,20201701199,PARTIAL D&C ALG (1/2 x MARK),100,100,4,MM: N^3 D&C,COMPILE_ERR,0,0,0,4
20201700316,20201700316,OK,100,100,8,,OK,80,100,3.8,11.8
20201700619,20201700619,OK,100,100,8,,OK,100,100,4,12
20201700646,20201700646,OK,100,0,2,,OK,100,100,4,6
20201700875,20201700875,OK,80,100,7.6,,OK,100,70,3.1,10.7
20201700374,20201700374,OK,80,100,7.6,,OK,100,100,4,11.6
20201701031,20201701032,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700246,20201700246,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700448,20201700448,OK,0,0,0,,OK,100,90,3.7,3.7
20201701191,20201701191,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700487,20201700487,OK,100,60,5.6,,OK,100,100,4,9.6
20201700584,20201700584,COMPILE_ERR,0,0,0,,OK,100,100,4,4
20201700906,20201700907,OK,100,100,8,,OK,100,70,3.1,11.1
20191700430,20191700430,OK,PLG:INCIDENT#1,PLG:INCIDENT#1,0,,PLAGIARISM,PLG:INCIDENT#1,PLG:INCIDENT#1,0,0
20201700120,20201700120,OK,100,100,8,,OK,100,70,3.1,11.1
20201700022,20201700022,OK,80,100,7.6,,OK,100,100,4,11.6
20191700401,20191700401,PARTIAL D&C ALG (1/2 x MARK),80,100,3.8,MM: N^3 D&C,OK,80,70,2.9,6.7
20191700908,20191700908,OK,100,100,8,,OK,100,100,4,12
20201700474,20201700474,OK,80,100,7.6,,OK,100,70,3.1,10.7
20201700859,20201700859,OK,100,100,8,,OK,100,100,4,12
20201700771,20201700771,PARTIAL D&C ALG (1/2 x MARK),100,100,4,MM: N^3 D&C,OK,100,100,4,8
20201701198,20201701198,OK,100,100,8,,OK,100,100,4,12
20191700885,20191700885,WRONG SUBMISSION,0,0,0,,OK,100,100,4,4
20201700382,20201700382,OK,100,100,8,,OK,100,70,3.1,11.1
20201700892,20201700893,WRONG ALGORITHM,0,0,0,MM: N^3 Naive,OK,0,0,0,0
